attribute_filterable,attribute_repeated,attribute_selectable,attribute_sortable,attribute_field_description,attribute_category,attribute_data_type,attribute_name,attribute_type_url
True,False,True,True,Phone number of the smart campaign.,ATTRIBUTE,STRING,smart_campaign_setting.phone_number.phone_number,N/A
True,False,True,True,Output only. The number of shared criteria within this shared set. Read only.,ATTRIBUTE,INT64,shared_set.member_count,N/A
True,False,True,True,"The name of this shared set. Required. Shared Sets must have names that are unique among active shared sets of the same type. The length of this string should be between 1 and 255 UTF-8 bytes, inclusive.",ATTRIBUTE,STRING,shared_set.name,N/A
True,False,True,True,Output only. The number of campaigns associated with this shared set. Read only.,ATTRIBUTE,INT64,shared_set.reference_count,N/A
True,False,True,True,The YouTube uploader channel id or the channel code of a YouTube channel.,ATTRIBUTE,STRING,ad_group_criterion.youtube_channel.channel_id,N/A
True,False,True,True,YouTube video id as it appears on the YouTube watch page.,ATTRIBUTE,STRING,ad_group_criterion.youtube_video.video_id,N/A
True,False,True,False,Immutable. The resource name of the Smart campaign setting. Smart campaign setting resource names have the form: customers/{customer_id}/smartCampaignSettings/{campaign_id},ATTRIBUTE,RESOURCE_NAME,smart_campaign_setting.resource_name,N/A
True,False,True,False,Immutable. The resource name of the shared set. Shared set resource names have the form: customers/{customer_id}/sharedSets/{shared_set_id},ATTRIBUTE,RESOURCE_NAME,shared_set.resource_name,N/A
True,False,True,True,Output only. The status of this shared set. Read only.,ATTRIBUTE,ENUM,shared_set.status,google.ads.googleads.v15.enums.SharedSetStatusEnum.SharedSetStatus
True,False,True,True,Immutable. The type of this shared set: each shared set holds only a single kind of resource. Required. Immutable.,ATTRIBUTE,ENUM,shared_set.type,google.ads.googleads.v15.enums.SharedSetTypeEnum.SharedSetType
True,False,True,True,The Commercial KG MID for the brand.,ATTRIBUTE,STRING,shared_criterion.brand.entity_id,N/A
True,False,True,True,Output only. The ID of the criterion. This field is ignored for mutates.,ATTRIBUTE,INT64,shared_criterion.criterion_id,N/A
True,False,True,True,The match type of the keyword.,ATTRIBUTE,ENUM,shared_criterion.keyword.match_type,google.ads.googleads.v15.enums.KeywordMatchTypeEnum.KeywordMatchType
True,False,True,True,The text of the keyword (at most 80 characters and 10 words).,ATTRIBUTE,STRING,shared_criterion.keyword.text,N/A
True,False,True,False,The mobile app category constant resource name.,ATTRIBUTE,RESOURCE_NAME,shared_criterion.mobile_app_category.mobile_app_category_constant,N/A
True,False,True,True,"A string that uniquely identifies a mobile application to Google Ads API. The format of this string is ""{platform}-{platform_native_id}"", where platform is ""1"" for iOS apps and ""2"" for Android apps, and where platform_native_id is the mobile application identifier native to the corresponding platform. For iOS, this native identifier is the 9 digit string that appears at the end of an App Store URL (for example, ""476943146"" for ""Flood-It! 2"" whose App Store link is ""http://itunes.apple.com/us/app/flood-it!-2/id476943146""). For Android, this native identifier is the application's package name (for example, ""com.labpixies.colordrips"" for ""Color Drips"" given Google Play link ""https://play.google.com/store/apps/details?id=com.labpixies.colordrips""). A well formed app id for Google Ads API would thus be ""1-476943146"" for iOS and ""2-com.labpixies.colordrips"" for Android. This field is required and must be set in CREATE operations.",ATTRIBUTE,STRING,shared_criterion.mobile_application.app_id,N/A
True,False,True,True,Name of this mobile application.,ATTRIBUTE,STRING,shared_criterion.mobile_application.name,N/A
True,False,True,True,"URL of the placement. For example, ""http://www.domain.com"".",ATTRIBUTE,STRING,shared_criterion.placement.url,N/A
True,False,True,False,Immutable. The resource name of the shared criterion. Shared set resource names have the form: customers/{customer_id}/sharedCriteria/{shared_set_id}~{criterion_id},ATTRIBUTE,RESOURCE_NAME,shared_criterion.resource_name,N/A
True,False,True,False,Immutable. The shared set to which the shared criterion belongs.,ATTRIBUTE,RESOURCE_NAME,shared_criterion.shared_set,N/A
True,False,True,True,Output only. Id of the remarketing action.,ATTRIBUTE,INT64,remarketing_action.id,N/A
True,False,True,True,Output only. The type of the criterion.,ATTRIBUTE,ENUM,shared_criterion.type,google.ads.googleads.v15.enums.CriterionTypeEnum.CriterionType
True,False,True,True,The YouTube uploader channel id or the channel code of a YouTube channel.,ATTRIBUTE,STRING,shared_criterion.youtube_channel.channel_id,N/A
True,False,True,True,YouTube video id as it appears on the YouTube watch page.,ATTRIBUTE,STRING,shared_criterion.youtube_video.video_id,N/A
True,False,True,True,The name of the remarketing action. This field is required and should not be empty when creating new remarketing actions.,ATTRIBUTE,STRING,remarketing_action.name,N/A
True,False,True,False,Immutable. The resource name of the remarketing action. Remarketing action resource names have the form: customers/{customer_id}/remarketingActions/{remarketing_action_id},ATTRIBUTE,RESOURCE_NAME,remarketing_action.resource_name,N/A
False,True,True,False,Output only. The snippets used for tracking remarketing actions.,ATTRIBUTE,MESSAGE,remarketing_action.tag_snippets,google.ads.googleads.v15.common.TagSnippet
True,False,True,False,"Output only. The ad group targeted by this recommendation. This will be set only when the recommendation affects a single ad group. This field will be set for the following recommendation types: KEYWORD, OPTIMIZE_AD_ROTATION, RESPONSIVE_SEARCH_AD, RESPONSIVE_SEARCH_AD_ASSET, TEXT_AD",ATTRIBUTE,RESOURCE_NAME,recommendation.ad_group,N/A
False,False,True,False,Output only. The call asset recommendation.,ATTRIBUTE,MESSAGE,recommendation.call_asset_recommendation,google.ads.googleads.v15.resources.Recommendation.CallAssetRecommendation
False,False,True,False,Output only. The callout asset recommendation.,ATTRIBUTE,MESSAGE,recommendation.callout_asset_recommendation,google.ads.googleads.v15.resources.Recommendation.CalloutAssetRecommendation
True,False,True,True,"Output only. The adjusted spending limit in micros. One million is equivalent to one unit. If the approved spending limit is finite, the adjusted spending limit may vary depending on the types of adjustments applied to this budget, if applicable. The different kinds of adjustments are described here: https://support.google.com/google-ads/answer/1704323 For example, a debit adjustment reduces how much the account is allowed to spend.",ATTRIBUTE,INT64,account_budget.adjusted_spending_limit_micros,N/A
True,False,True,False,"Output only. The campaign targeted by this recommendation. This field will be set for the following recommendation types: CALL_EXTENSION, CALLOUT_EXTENSION, ENHANCED_CPC_OPT_IN, USE_BROAD_MATCH_KEYWORD, KEYWORD, KEYWORD_MATCH_TYPE, UPGRADE_LOCAL_CAMPAIGN_TO_PERFORMANCE_MAX, MAXIMIZE_CLICKS_OPT_IN, MAXIMIZE_CONVERSIONS_OPT_IN, OPTIMIZE_AD_ROTATION, RESPONSIVE_SEARCH_AD, RESPONSIVE_SEARCH_AD_ASSET, SEARCH_PARTNERS_OPT_IN, DISPLAY_EXPANSION_OPT_IN, SITELINK_EXTENSION, TARGET_CPA_OPT_IN, TARGET_ROAS_OPT_IN, TEXT_AD, UPGRADE_SMART_SHOPPING_CAMPAIGN_TO_PERFORMANCE_MAX, RAISE_TARGET_CPA_BID_TOO_LOW, FORECASTING_SET_TARGET_ROAS, SHOPPING_ADD_AGE_GROUP, SHOPPING_ADD_COLOR, SHOPPING_ADD_GENDER, SHOPPING_ADD_SIZE, SHOPPING_ADD_GTIN, SHOPPING_ADD_MORE_IDENTIFIERS, SHOPPING_ADD_PRODUCTS_TO_CAMPAIGN, SHOPPING_FIX_DISAPPROVED_PRODUCTS, SHOPPING_MIGRATE_REGULAR_SHOPPING_CAMPAIGN_OFFERS_TO_PERFORMANCE_MAX, DYNAMIC_IMAGE_EXTENSION_OPT_IN, RAISE_TARGET_CPA, LOWER_TARGET_ROAS, FORECASTING_SET_TARGET_CPA, SET_TARGET_CPA, SET_TARGET_ROAS",ATTRIBUTE,RESOURCE_NAME,recommendation.campaign,N/A
True,False,True,True,"Output only. The adjusted spending limit as a well-defined type, for example, INFINITE. This will only be populated if the adjusted spending limit is INFINITE, which is guaranteed to be true if the approved spending limit is INFINITE.",ATTRIBUTE,ENUM,account_budget.adjusted_spending_limit_type,google.ads.googleads.v15.enums.SpendingLimitTypeEnum.SpendingLimitType
True,False,True,True,"Output only. The value of Ads that have been served, in micros. This includes overdelivery costs, in which case a credit might be automatically applied to the budget (see total_adjustments_micros).",ATTRIBUTE,INT64,account_budget.amount_served_micros,N/A
True,False,True,True,Output only. The approved end time in yyyy-MM-dd HH:mm:ss format.,ATTRIBUTE,DATE,account_budget.approved_end_date_time,N/A
True,False,True,False,"Output only. The budget targeted by this recommendation. This will be set only when the recommendation affects a single campaign budget. This field will be set for the following recommendation types: CAMPAIGN_BUDGET, FORECASTING_CAMPAIGN_BUDGET, MARGINAL_ROI_CAMPAIGN_BUDGET, MOVE_UNUSED_BUDGET",ATTRIBUTE,RESOURCE_NAME,recommendation.campaign_budget,N/A
False,False,True,False,Output only. The campaign budget recommendation.,ATTRIBUTE,MESSAGE,recommendation.campaign_budget_recommendation,google.ads.googleads.v15.resources.Recommendation.CampaignBudgetRecommendation
True,False,True,True,"Output only. The approved end time as a well-defined type, for example, FOREVER.",ATTRIBUTE,ENUM,account_budget.approved_end_time_type,google.ads.googleads.v15.enums.TimeTypeEnum.TimeType
True,False,True,True,"Output only. The approved spending limit in micros. One million is equivalent to one unit. This will only be populated if the proposed spending limit is finite, and will always be greater than or equal to the proposed spending limit.",ATTRIBUTE,INT64,account_budget.approved_spending_limit_micros,N/A
True,False,True,True,"Output only. The approved spending limit as a well-defined type, for example, INFINITE. This will only be populated if the approved spending limit is INFINITE.",ATTRIBUTE,ENUM,account_budget.approved_spending_limit_type,google.ads.googleads.v15.enums.SpendingLimitTypeEnum.SpendingLimitType
True,True,True,False,"Output only. The campaigns targeted by this recommendation. This field will be set for the following recommendation types: CAMPAIGN_BUDGET, FORECASTING_CAMPAIGN_BUDGET, MARGINAL_ROI_CAMPAIGN_BUDGET and MOVE_UNUSED_BUDGET",ATTRIBUTE,RESOURCE_NAME,recommendation.campaigns,N/A
True,False,True,False,Output only. Whether the recommendation is dismissed or not.,ATTRIBUTE,BOOLEAN,recommendation.dismissed,N/A
True,False,True,True,"Output only. The approved start time of the account-level budget in yyyy-MM-dd HH:mm:ss format. For example, if a new budget is approved after the proposed start time, the approved start time is the time of approval.",ATTRIBUTE,DATE,account_budget.approved_start_date_time,N/A
True,False,True,False,Output only. The resource name of the billing setup associated with this account-level budget. BillingSetup resource names have the form: customers/{customer_id}/billingSetups/{billing_setup_id},ATTRIBUTE,RESOURCE_NAME,account_budget.billing_setup,N/A
True,False,True,True,Output only. The ID of the account-level budget.,ATTRIBUTE,INT64,account_budget.id,N/A
False,False,True,False,Output only. The Display Expansion opt-in recommendation.,ATTRIBUTE,MESSAGE,recommendation.display_expansion_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.DisplayExpansionOptInRecommendation
False,False,True,False,"Output only. Recommendation to enable dynamic image extensions on the account, allowing Google to find the best images from ad landing pages and complement text ads.",ATTRIBUTE,MESSAGE,recommendation.dynamic_image_extension_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.DynamicImageExtensionOptInRecommendation
True,False,True,True,Output only. The name of the account-level budget.,ATTRIBUTE,STRING,account_budget.name,N/A
True,False,True,True,Output only. Notes associated with the budget.,ATTRIBUTE,STRING,account_budget.notes,N/A
True,False,True,True,Output only. The resource name of the proposal. AccountBudgetProposal resource names have the form: customers/{customer_id}/accountBudgetProposals/{account_budget_proposal_id},ATTRIBUTE,RESOURCE_NAME,account_budget.pending_proposal.account_budget_proposal,N/A
False,False,True,False,Output only. The Enhanced Cost-Per-Click Opt-In recommendation.,ATTRIBUTE,MESSAGE,recommendation.enhanced_cpc_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.EnhancedCpcOptInRecommendation
False,False,True,False,Output only. The forecasting campaign budget recommendation.,ATTRIBUTE,MESSAGE,recommendation.forecasting_campaign_budget_recommendation,google.ads.googleads.v15.resources.Recommendation.CampaignBudgetRecommendation
False,False,True,False,Output only. The forecasting set target CPA recommendation.,ATTRIBUTE,MESSAGE,recommendation.forecasting_set_target_cpa_recommendation,google.ads.googleads.v15.resources.Recommendation.ForecastingSetTargetCpaRecommendation
False,False,True,True,Output only. The time when this account-level budget proposal was created. Formatted as yyyy-MM-dd HH:mm:ss.,ATTRIBUTE,DATE,account_budget.pending_proposal.creation_date_time,N/A
True,False,True,True,Output only. The end time in yyyy-MM-dd HH:mm:ss format.,ATTRIBUTE,DATE,account_budget.pending_proposal.end_date_time,N/A
True,False,True,True,"Output only. The end time as a well-defined type, for example, FOREVER.",ATTRIBUTE,ENUM,account_budget.pending_proposal.end_time_type,google.ads.googleads.v15.enums.TimeTypeEnum.TimeType
False,False,True,False,Output only. The forecasting set target ROAS recommendation.,ATTRIBUTE,MESSAGE,recommendation.forecasting_set_target_roas_recommendation,google.ads.googleads.v15.resources.Recommendation.ForecastingSetTargetRoasRecommendation
False,False,True,False,Output only. The impact on account performance as a result of applying the recommendation.,ATTRIBUTE,MESSAGE,recommendation.impact,google.ads.googleads.v15.resources.Recommendation.RecommendationImpact
True,False,True,True,Output only. The name to assign to the account-level budget.,ATTRIBUTE,STRING,account_budget.pending_proposal.name,N/A
True,False,True,True,Output only. Notes associated with this budget.,ATTRIBUTE,STRING,account_budget.pending_proposal.notes,N/A
True,False,True,True,"Output only. The type of this proposal, for example, END to end the budget associated with this proposal.",ATTRIBUTE,ENUM,account_budget.pending_proposal.proposal_type,google.ads.googleads.v15.enums.AccountBudgetProposalTypeEnum.AccountBudgetProposalType
True,False,True,True,Output only. The locale of the qualifying question.,ATTRIBUTE,STRING,qualifying_question.locale,N/A
False,False,True,False,Output only. The improve Performance Max ad strength recommendation.,ATTRIBUTE,MESSAGE,recommendation.improve_performance_max_ad_strength_recommendation,google.ads.googleads.v15.resources.Recommendation.ImprovePerformanceMaxAdStrengthRecommendation
False,False,True,False,Output only. The keyword match type recommendation.,ATTRIBUTE,MESSAGE,recommendation.keyword_match_type_recommendation,google.ads.googleads.v15.resources.Recommendation.KeywordMatchTypeRecommendation
True,False,True,True,Output only. A purchase order number is a value that helps users reference this budget in their monthly invoices.,ATTRIBUTE,STRING,account_budget.pending_proposal.purchase_order_number,N/A
True,False,True,True,Output only. The spending limit in micros. One million is equivalent to one unit.,ATTRIBUTE,INT64,account_budget.pending_proposal.spending_limit_micros,N/A
True,False,True,True,"Output only. The spending limit as a well-defined type, for example, INFINITE.",ATTRIBUTE,ENUM,account_budget.pending_proposal.spending_limit_type,google.ads.googleads.v15.enums.SpendingLimitTypeEnum.SpendingLimitType
True,False,True,True,Output only. The id of the qualifying question.,ATTRIBUTE,INT64,qualifying_question.qualifying_question_id,N/A
True,False,True,False,Output only. The resource name of the qualifying question. 'qualifyingQuestions/{qualifyingQuestionId}',ATTRIBUTE,RESOURCE_NAME,qualifying_question.resource_name,N/A
True,False,True,True,Output only. The qualifying question.,ATTRIBUTE,STRING,qualifying_question.text,N/A
False,False,True,False,Output only. The keyword recommendation.,ATTRIBUTE,MESSAGE,recommendation.keyword_recommendation,google.ads.googleads.v15.resources.Recommendation.KeywordRecommendation
False,False,True,True,Output only. The start time in yyyy-MM-dd HH:mm:ss format.,ATTRIBUTE,DATE,account_budget.pending_proposal.start_date_time,N/A
True,False,True,True,Output only. The proposed end time in yyyy-MM-dd HH:mm:ss format.,ATTRIBUTE,DATE,account_budget.proposed_end_date_time,N/A
True,False,True,True,"Output only. The proposed end time as a well-defined type, for example, FOREVER.",ATTRIBUTE,ENUM,account_budget.proposed_end_time_type,google.ads.googleads.v15.enums.TimeTypeEnum.TimeType
False,False,True,False,Output only. Recommendation to lower Target ROAS.,ATTRIBUTE,MESSAGE,recommendation.lower_target_roas_recommendation,google.ads.googleads.v15.resources.Recommendation.LowerTargetRoasRecommendation
False,False,True,False,Output only. The marginal ROI campaign budget recommendation.,ATTRIBUTE,MESSAGE,recommendation.marginal_roi_campaign_budget_recommendation,google.ads.googleads.v15.resources.Recommendation.CampaignBudgetRecommendation
True,False,True,True,Output only. The proposed spending limit in micros. One million is equivalent to one unit.,ATTRIBUTE,INT64,account_budget.proposed_spending_limit_micros,N/A
True,False,True,True,"Output only. The proposed spending limit as a well-defined type, for example, INFINITE.",ATTRIBUTE,ENUM,account_budget.proposed_spending_limit_type,google.ads.googleads.v15.enums.SpendingLimitTypeEnum.SpendingLimitType
False,False,True,True,"Output only. The proposed start time of the account-level budget in yyyy-MM-dd HH:mm:ss format. If a start time type of NOW was proposed, this is the time of request.",ATTRIBUTE,DATE,account_budget.proposed_start_date_time,N/A
True,False,True,True,Output only. The hotel center id of the hotel account. This field is read only,ATTRIBUTE,INT64,product_link_invitation.hotel_center.hotel_center_id,N/A
False,False,True,False,Output only. The MaximizeClicks Opt-In recommendation.,ATTRIBUTE,MESSAGE,recommendation.maximize_clicks_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.MaximizeClicksOptInRecommendation
False,False,True,False,Output only. The MaximizeConversions Opt-In recommendation.,ATTRIBUTE,MESSAGE,recommendation.maximize_conversions_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.MaximizeConversionsOptInRecommendation
False,False,True,False,Output only. The Dynamic Search Ads to Performance Max migration recommendation.,ATTRIBUTE,MESSAGE,recommendation.migrate_dynamic_search_ads_campaign_to_performance_max_recommendation,google.ads.googleads.v15.resources.Recommendation.MigrateDynamicSearchAdsCampaignToPerformanceMaxRecommendation
True,False,True,True,Output only. A purchase order number is a value that helps users reference this budget in their monthly invoices.,ATTRIBUTE,STRING,account_budget.purchase_order_number,N/A
True,False,True,False,Output only. The resource name of the account-level budget. AccountBudget resource names have the form: customers/{customer_id}/accountBudgets/{account_budget_id},ATTRIBUTE,RESOURCE_NAME,account_budget.resource_name,N/A
True,False,True,True,Output only. The status of this account-level budget.,ATTRIBUTE,ENUM,account_budget.status,google.ads.googleads.v15.enums.AccountBudgetStatusEnum.AccountBudgetStatus
True,False,True,True,Output only. The Merchant Center id of the Merchant account. This field is read only,ATTRIBUTE,INT64,product_link_invitation.merchant_center.merchant_center_id,N/A
True,False,True,True,Output only. The ID of the product link invitation. This field is read only.,ATTRIBUTE,INT64,product_link_invitation.product_link_invitation_id,N/A
True,False,True,False,Immutable. The resource name of a product link invitation. Product link invitation resource names have the form: customers/{customer_id}/productLinkInvitations/{product_link_invitation_id},ATTRIBUTE,RESOURCE_NAME,product_link_invitation.resource_name,N/A
True,False,True,True,Output only. The status of the product link invitation. This field is read only.,ATTRIBUTE,ENUM,product_link_invitation.status,google.ads.googleads.v15.enums.ProductLinkInvitationStatusEnum.ProductLinkInvitationStatus
False,False,True,False,Output only. The move unused budget recommendation.,ATTRIBUTE,MESSAGE,recommendation.move_unused_budget_recommendation,google.ads.googleads.v15.resources.Recommendation.MoveUnusedBudgetRecommendation
False,False,True,False,Output only. The Optimize Ad Rotation recommendation.,ATTRIBUTE,MESSAGE,recommendation.optimize_ad_rotation_recommendation,google.ads.googleads.v15.resources.Recommendation.OptimizeAdRotationRecommendation
True,False,True,True,Output only. The total adjustments amount. An example of an adjustment is courtesy credits.,ATTRIBUTE,INT64,account_budget.total_adjustments_micros,N/A
True,False,True,True,Output only. The type of the invited account. This field is read only and can be used for filtering invitations with {@code GoogleAdsService.SearchGoogleAdsRequest}.,ATTRIBUTE,ENUM,product_link_invitation.type,google.ads.googleads.v15.enums.LinkedProductTypeEnum.LinkedProductType
False,False,True,False,Output only. The Performance Max Opt In recommendation.,ATTRIBUTE,MESSAGE,recommendation.performance_max_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.PerformanceMaxOptInRecommendation
False,False,True,False,Output only. The raise target CPA bid too low recommendation.,ATTRIBUTE,MESSAGE,recommendation.raise_target_cpa_bid_too_low_recommendation,google.ads.googleads.v15.resources.Recommendation.RaiseTargetCpaBidTooLowRecommendation
True,False,True,True,"Output only. Time in seconds when the subscription was first created. The datetime is in the customer's time zone and in ""yyyy-MM-dd HH:mm:ss"" format.",ATTRIBUTE,DATE,recommendation_subscription.create_date_time,N/A
False,False,True,False,Output only. Recommendation to raise Target CPA.,ATTRIBUTE,MESSAGE,recommendation.raise_target_cpa_recommendation,google.ads.googleads.v15.resources.Recommendation.RaiseTargetCpaRecommendation
True,False,True,False,Immutable. The resource name of the recommendation. customers/{customer_id}/recommendations/{recommendation_id},ATTRIBUTE,RESOURCE_NAME,recommendation.resource_name,N/A
False,False,True,False,Output only. The responsive search ad asset recommendation.,ATTRIBUTE,MESSAGE,recommendation.responsive_search_ad_asset_recommendation,google.ads.googleads.v15.resources.Recommendation.ResponsiveSearchAdAssetRecommendation
True,False,True,True,"Output only. Contains the time in microseconds, when the Recommendation Subscription was last updated. The datetime is in the customer's time zone and in ""yyyy-MM-dd HH:mm:ss.ssssss"" format.",ATTRIBUTE,DATE,recommendation_subscription.modify_date_time,N/A
True,False,True,False,Immutable. The resource name of the recommendation subscription. customers/{customer_id}/recommendationSubscriptions/{recommendation_type},ATTRIBUTE,RESOURCE_NAME,recommendation_subscription.resource_name,N/A
True,False,True,True,"Required. Status of the subscription, either enabled or paused.",ATTRIBUTE,ENUM,recommendation_subscription.status,google.ads.googleads.v15.enums.RecommendationSubscriptionStatusEnum.RecommendationSubscriptionStatus
True,False,True,True,Immutable. The customer ID of the Data partner account. This field is required and should not be empty when creating a new data partner link. It is unable to be modified after the creation of the link.,ATTRIBUTE,INT64,product_link.data_partner.data_partner_id,N/A
False,False,True,False,Output only. The responsive search ad improve ad strength recommendation.,ATTRIBUTE,MESSAGE,recommendation.responsive_search_ad_improve_ad_strength_recommendation,google.ads.googleads.v15.resources.Recommendation.ResponsiveSearchAdImproveAdStrengthRecommendation
False,False,True,False,Output only. The add responsive search ad recommendation.,ATTRIBUTE,MESSAGE,recommendation.responsive_search_ad_recommendation,google.ads.googleads.v15.resources.Recommendation.ResponsiveSearchAdRecommendation
True,False,True,True,Required. Immutable. The type of recommendation subscribed to.,ATTRIBUTE,ENUM,recommendation_subscription.type,google.ads.googleads.v15.enums.RecommendationTypeEnum.RecommendationType
True,False,True,True,Immutable. The resource name of the Google Ads account. This field is required and should not be empty when creating a new Google Ads link. It is unable to be modified after the creation of the link.,ATTRIBUTE,RESOURCE_NAME,product_link.google_ads.customer,N/A
True,False,True,True,Immutable. The customer ID of the Google Merchant Center account. This field is required and should not be empty when creating a new Merchant Center link. It is unable to be modified after the creation of the link.,ATTRIBUTE,INT64,product_link.merchant_center.merchant_center_id,N/A
True,False,True,True,Output only. The ID of the link. This field is read only.,ATTRIBUTE,INT64,product_link.product_link_id,N/A
True,False,True,False,Immutable. Resource name of the product link. ProductLink resource names have the form: customers/{customer_id}/productLinks/{product_link_id} ,ATTRIBUTE,RESOURCE_NAME,product_link.resource_name,N/A
False,False,True,False,Output only. The Search Partners Opt-In recommendation.,ATTRIBUTE,MESSAGE,recommendation.search_partners_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.SearchPartnersOptInRecommendation
False,False,True,False,Output only. The set target CPA recommendation.,ATTRIBUTE,MESSAGE,recommendation.set_target_cpa_recommendation,google.ads.googleads.v15.resources.Recommendation.ForecastingSetTargetCpaRecommendation
True,False,True,True,Output only. The type of the linked product.,ATTRIBUTE,ENUM,product_link.type,google.ads.googleads.v15.enums.LinkedProductTypeEnum.LinkedProductType
False,False,True,False,Output only. The set target ROAS recommendation.,ATTRIBUTE,MESSAGE,recommendation.set_target_roas_recommendation,google.ads.googleads.v15.resources.Recommendation.ForecastingSetTargetRoasRecommendation
False,False,True,False,Output only. The shopping add age group recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_add_age_group_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingOfferAttributeRecommendation
False,False,True,False,Output only. The shopping add color recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_add_color_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingOfferAttributeRecommendation
False,False,True,False,Output only. The shopping add gender recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_add_gender_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingOfferAttributeRecommendation
False,False,True,False,Output only. The shopping add GTIN recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_add_gtin_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingOfferAttributeRecommendation
False,False,True,False,Output only. The shopping add more identifiers recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_add_more_identifiers_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingOfferAttributeRecommendation
False,False,True,False,Output only. The shopping add products to campaign recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_add_products_to_campaign_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingAddProductsToCampaignRecommendation
False,False,True,False,Output only. The shopping add size recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_add_size_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingOfferAttributeRecommendation
False,False,True,False,Output only. The shopping fix disapproved products recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_fix_disapproved_products_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingFixDisapprovedProductsRecommendation
False,False,True,False,Output only. The shopping fix Merchant Center account suspension warning recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_fix_merchant_center_account_suspension_warning_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingMerchantCenterAccountSuspensionRecommendation
False,False,True,False,Output only. The shopping fix suspended Merchant Center account recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_fix_suspended_merchant_center_account_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingMerchantCenterAccountSuspensionRecommendation
False,False,True,False,Output only. The shopping migrate Regular Shopping Campaign offers to Performance Max recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_migrate_regular_shopping_campaign_offers_to_performance_max_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingMigrateRegularShoppingCampaignOffersToPerformanceMaxRecommendation
False,False,True,False,Output only. The shopping target all offers recommendation.,ATTRIBUTE,MESSAGE,recommendation.shopping_target_all_offers_recommendation,google.ads.googleads.v15.resources.Recommendation.ShoppingTargetAllOffersRecommendation
False,False,True,False,Output only. The sitelink asset recommendation.,ATTRIBUTE,MESSAGE,recommendation.sitelink_asset_recommendation,google.ads.googleads.v15.resources.Recommendation.SitelinkAssetRecommendation
False,False,True,False,Output only. The TargetCPA opt-in recommendation.,ATTRIBUTE,MESSAGE,recommendation.target_cpa_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.TargetCpaOptInRecommendation
False,False,True,False,Output only. The Target ROAS opt-in recommendation.,ATTRIBUTE,MESSAGE,recommendation.target_roas_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.TargetRoasOptInRecommendation
False,False,True,False,Output only. Add expanded text ad recommendation.,ATTRIBUTE,MESSAGE,recommendation.text_ad_recommendation,google.ads.googleads.v15.resources.Recommendation.TextAdRecommendation
True,False,True,True,Output only. The type of recommendation.,ATTRIBUTE,ENUM,recommendation.type,google.ads.googleads.v15.enums.RecommendationTypeEnum.RecommendationType
False,True,True,False,Output only. Details for each error code. Alerts are generated from most recent calendar day with upload stats.,ATTRIBUTE,MESSAGE,offline_conversion_upload_client_summary.alerts,google.ads.googleads.v15.resources.OfflineConversionAlert
False,False,True,False,Output only. The upgrade a Local campaign to a Performance Max campaign recommendation.,ATTRIBUTE,MESSAGE,recommendation.upgrade_local_campaign_to_performance_max_recommendation,google.ads.googleads.v15.resources.Recommendation.UpgradeLocalCampaignToPerformanceMaxRecommendation
False,False,True,False,Output only. The upgrade a Smart Shopping campaign to a Performance Max campaign recommendation.,ATTRIBUTE,MESSAGE,recommendation.upgrade_smart_shopping_campaign_to_performance_max_recommendation,google.ads.googleads.v15.resources.Recommendation.UpgradeSmartShoppingCampaignToPerformanceMaxRecommendation
True,False,True,True,Output only. Client type of the upload event.,ATTRIBUTE,ENUM,offline_conversion_upload_client_summary.client,google.ads.googleads.v15.enums.OfflineEventUploadClientEnum.OfflineEventUploadClient
